duration_s,window_duration_s,distance_traveled_outage_m,p6_drift_pct,p7_drift_pct,p8_drift_pct,p6_dr_end_err_m,p7_map_dr_end_err_m,p7_map_dr_cross_err_m,p8_hybrid_outage_max_err_m,p8_hybrid_outage_cross_err_m,p8_post_recovery_err_m,recovery_p_step_m,recovery_v_step_mps,recovery_pseudo_accel_mps2,zero_teleportation_passed
10,45.0,99.0,16.0,15.7,44.9,15.86,15.56,0.95,78.05,1.56,12.35,0.648,0.086,0.85,True
30,65.0,191.8,41.0,40.9,9.0,78.59,78.36,1.03,78.05,1.56,16.23,0.003,0.003,0.027,True
60,95.0,191.8,41.1,40.9,8.9,78.74,78.5,1.03,78.05,1.56,19.94,0.0,0.006,0.056,True
120,165.0,661.4,154.2,161.8,177.8,1020.11,1070.2,916.15,1176.17,1012.86,5596.36,8.521,0.99,9.806,False
